closest_ivt_unit,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt,ivt_rate,admissions_2122
SO225DG,3134.5885,238800,76.1822,0.058,10.093,21.4908,44.2319,21.2319,23.0,18067,220946,0.0818,7477,220946,0.0338,29345,214925,0.1365,49416,238800,0.2069,146227.0,92573.0,0.3877,4331.0,45085.0,0.9124,238800.0,0.0,0.0,7.0,659
SP28BJ,3809.0719,171703,45.0774,0.0672,12.9867,20.9837,57.7015,21.8015,35.9,10911,157393,0.0693,6112,157393,0.0388,22892,149498,0.1531,35939,171703,0.2093,57692.0,114011.0,0.664,6156.0,29783.0,0.8287,171703.0,0.0,0.0,9.6,332
SR47TP,810.8234,482802,595.4466,0.2006,31.95,15.8439,40.8235,15.7235,25.1,22964,479112,0.0479,42164,479112,0.088,111559,473293,0.2357,96775,482802,0.2004,467156.0,15646.0,0.0324,0.0,96775.0,1.0,482802.0,0.0,0.0,11.4,711
SS00RY,523.8997,271707,518.6241,0.1229,18.8781,12.8909,52.7913,12.5913,40.2,26410,258319,0.1022,13787,258319,0.0534,44809,255599,0.1753,57128,271707,0.2103,261212.0,10495.0,0.0386,0.0,57128.0,1.0,271707.0,0.0,0.0,12.7,646
SS165NL,1642.6666,463588,282.2167,0.1183,19.4315,17.8877,44.4179,17.1179,27.3,41458,437757,0.0947,22538,437757,0.0515,72706,434953,0.1672,90613,463588,0.1955,414327.0,49261.0,0.1063,6204.0,84409.0,0.9315,463588.0,0.0,0.0,9.8,601
ST46QG,3981.1106,626739,157.4282,0.133,23.8423,18.9499,18.1607,18.1607,0.0,53393,602860,0.0886,40662,602860,0.0674,122114,590951,0.2066,130025,626739,0.2075,527680.0,99059.0,0.1581,4890.0,125135.0,0.9624,0.0,626739.0,1.0,10.4,1101
SW170QT,229.2157,625959,2730.873,0.1222,19.3105,15.7414,15.5308,15.5308,0.0,314654,586792,0.5362,24758,586792,0.0422,73293,581732,0.126,71217,625959,0.1138,625959.0,0.0,0.0,0.0,71217.0,1.0,0.0,625959.0,1.0,7.8,918
SW66SX,342.1712,918673,2684.8345,0.1041,16.9418,15.433,15.284,15.284,0.0,443155,867229,0.511,34866,867229,0.0402,98202,853712,0.115,118397,918673,0.1289,918673.0,0.0,0.0,0.0,118397.0,1.0,0.0,918673.0,1.0,9.9,1147
SY231ER,9184.2461,87086,9.4821,0.1098,16.0302,35.5818,168.3503,32.5503,135.8,5077,89939,0.0564,5258,89939,0.0585,17845,85609,0.2084,22687,87086,0.2605,18628.0,68458.0,0.7861,14546.0,8141.0,0.3588,87086.0,0.0,0.0,26.2,126
TA15DA,4328.8059,272484,62.9467,0.1084,19.8197,23.9271,88.6768,22.7768,65.9,13744,253368,0.0542,12905,253368,0.0509,45139,247524,0.1824,66948,272484,0.2457,168632.0,103852.0,0.3811,19925.0,47023.0,0.7024,272484.0,0.0,0.0,8.7,644
TF16TF,6487.6458,407757,62.8513,0.119,19.9645,22.937,67.9968,21.3968,46.6,27277,378407,0.0721,20812,378407,0.055,65943,370630,0.1779,86899,407757,0.2131,275596.0,132161.0,0.3241,15287.0,71612.0,0.8241,407757.0,0.0,0.0,11.5,358
TQ27AA,2057.9527,270791,131.5827,0.1393,22.1367,18.7849,69.9877,17.9877,52.0,12004,256036,0.0469,16671,256036,0.0651,53582,250186,0.2142,74407,270791,0.2748,201051.0,69740.0,0.2575,5521.0,68886.0,0.9258,270791.0,0.0,0.0,7.7,595
TR13LQ,5283.8907,440655,83.3959,0.1336,23.3336,29.1385,103.9104,28.3104,75.6,18193,405538,0.0449,25971,405538,0.064,83119,397962,0.2089,108644,440655,0.2466,212356.0,228299.0,0.5181,52813.0,55831.0,0.5139,440655.0,0.0,0.0,6.5,880
TS198PE,5841.3406,440235,75.3654,0.1641,26.39,24.319,70.3721,23.7721,46.6,24112,431329,0.0559,27873,431329,0.0646,82366,420201,0.196,89429,440235,0.2031,352172.0,88063.0,0.2,15807.0,73622.0,0.8232,440235.0,0.0,0.0,19.0,632
TS43BW,5323.7008,390892,73.4249,0.1806,29.4861,21.7724,78.092,19.692,58.4,27351,383796,0.0713,26360,383796,0.0687,75705,378917,0.1998,82284,390892,0.2105,301737.0,89155.0,0.2281,17632.0,64652.0,0.7857,390892.0,0.0,0.0,12.9,752
WD180HB,1248.0173,592250,474.5527,0.0801,12.1531,19.7406,54.093,19.293,34.8,148776,556239,0.2675,22162,556239,0.0398,74360,549053,0.1354,103920,592250,0.1755,553177.0,39073.0,0.066,6991.0,96929.0,0.9327,592250.0,0.0,0.0,13.5,607
WF14DG,1764.4882,590899,334.8841,0.1487,26.6469,18.8434,42.8303,18.7303,24.1,58804,551161,0.1067,39665,551161,0.072,112673,545807,0.2064,110732,590899,0.1874,484168.0,106731.0,0.1806,500.0,110232.0,0.9955,590899.0,0.0,0.0,13.0,722
WR51DD,4107.0189,412669,100.479,0.094,16.4518,22.1075,56.9356,21.0356,35.9,26578,385239,0.069,18853,385239,0.0489,64667,378243,0.171,98611,412669,0.239,262378.0,150291.0,0.3642,13235.0,85376.0,0.8658,412669.0,0.0,0.0,6.8,721
WV100QP,1701.2541,653493,384.1243,0.1726,26.754,19.1835,47.655,18.255,29.4,115792,621352,0.1864,42217,621352,0.0679,121851,613159,0.1987,123735,653493,0.1893,598972.0,54521.0,0.0834,11546.0,112189.0,0.9067,653493.0,0.0,0.0,9.4,1038
YO318HE,10954.8413,534382,48.7804,0.0841,14.6066,30.2429,72.1637,27.6637,44.5,34546,506109,0.0683,23375,506109,0.0462,81036,490580,0.1652,119484,534382,0.2236,319406.0,214976.0,0.4023,52386.0,67098.0,0.5616,534382.0,0.0,0.0,11.3,946
