closest_ivt_unit,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt,ivt_rate,admissions_2122
PL68DH,6736.8319,471970,70.0582,0.1283,23.2459,23.3635,21.3724,21.3724,0.0,25273,457655,0.0552,27779,457655,0.0607,88673,449172,0.1974,106878,471970,0.2265,306440.0,165530.0,0.3507,30526.0,76352.0,0.7144,0.0,471970.0,1.0,10.2,766
PO196SE,2367.4634,213619,90.2312,0.0905,16.0486,18.5783,65.804,18.104,47.7,15564,198139,0.0786,9624,198139,0.0486,34813,192934,0.1804,59896,213619,0.2804,126808.0,86811.0,0.4064,3324.0,56572.0,0.9445,213619.0,0.0,0.0,13.9,482
PO305TG,946.2206,142296,150.3835,0.138,23.3603,19.6243,136.1055,18.6055,117.5,7166,138265,0.0518,8953,138265,0.0648,28739,133713,0.2149,40858,142296,0.2871,99633.0,42663.0,0.2998,0.0,40858.0,1.0,142296.0,0.0,0.0,12.9,310
PO63LY,1548.2951,636571,411.1432,0.1043,19.4131,17.7629,48.7978,17.1978,31.6,54171,607293,0.0892,28837,607293,0.0475,96872,596555,0.1624,128740,636571,0.2022,584114.0,52457.0,0.0824,1586.0,127154.0,0.9877,636571.0,0.0,0.0,17.1,1018
PR29HT,2457.241,472451,192.2689,0.1127,19.541,20.2699,19.197,19.197,0.0,48151,450220,0.1069,25292,450220,0.0562,79174,438636,0.1805,94546,472451,0.2001,381589.0,90862.0,0.1923,7078.0,87468.0,0.9251,0.0,472451.0,1.0,6.8,735
RG15AN,2231.3018,519150,232.6669,0.0708,11.2089,18.0176,66.7214,16.9214,49.8,96551,483279,0.1998,15535,483279,0.0321,57969,473405,0.1225,86865,519150,0.1673,417025.0,102125.0,0.1967,6513.0,80352.0,0.925,519150.0,0.0,0.0,27.5,676
RH15RH,2027.438,442982,218.4935,0.0743,12.9088,22.4984,59.8791,21.8791,38.0,66798,411321,0.1624,15385,411321,0.0374,54392,404270,0.1345,79120,442982,0.1786,369978.0,73004.0,0.1648,16096.0,63024.0,0.7966,442982.0,0.0,0.0,9.9,727
RM70AG,1734.6856,1214850,700.3286,0.1319,20.8906,19.7134,19.0438,19.0438,0.0,420249,1107840,0.3793,57831,1107840,0.0522,172335,1100588,0.1566,177632,1214850,0.1462,1169484.0,45366.0,0.0373,29178.0,148454.0,0.8357,0.0,1214850.0,1.0,11.9,981
S102JF,2661.1817,773440,290.6378,0.1581,27.5775,16.5516,15.352,15.352,0.0,123912,730330,0.1697,47350,730330,0.0648,137077,715312,0.1916,131361,773440,0.1698,737666.0,35774.0,0.0463,1142.0,130219.0,0.9913,0.0,773440.0,1.0,8.6,1352
S445BL,2340.967,348071,148.6868,0.1297,21.5612,19.0922,46.1892,18.8892,27.3,14735,339499,0.0434,23873,339499,0.0703,72516,335994,0.2158,80690,348071,0.2318,283041.0,65030.0,0.1868,1434.0,79256.0,0.9822,348071.0,0.0,0.0,8.2,649
SA148QF,1430.4713,151078,105.6141,0.1497,19.9071,16.6173,75.4175,15.9175,59.5,6067,145436,0.0417,12777,145436,0.0879,35853,144019,0.2489,34485,151078,0.2283,99745.0,51333.0,0.3398,545.0,33940.0,0.9842,151078.0,0.0,0.0,9.3,162
SA312AF,6797.018,96161,14.1475,0.1235,17.6667,26.9899,102.5864,25.8864,76.7,4249,94969,0.0447,6653,94969,0.0701,21542,92838,0.232,26398,96161,0.2745,17335.0,78826.0,0.8197,10718.0,15680.0,0.594,96161.0,0.0,0.0,10.6,207
SA612PZ,4247.5193,129547,30.4994,0.147,20.0445,24.3129,131.3302,23.5302,107.8,5507,125201,0.044,8559,125201,0.0684,27206,123299,0.2207,33819,129547,0.2611,29641.0,99906.0,0.7712,8406.0,25413.0,0.7514,129547.0,0.0,0.0,16.8,208
SA66NL,1513.0443,339300,224.2499,0.1821,24.9365,17.8664,69.3896,17.3896,52.0,22807,328689,0.0694,30086,328689,0.0915,80467,323172,0.249,67759,339300,0.1997,303659.0,35641.0,0.105,0.0,67759.0,1.0,339300.0,0.0,0.0,16.9,615
SE59RW,207.4601,830454,4002.9576,0.1574,25.3668,14.6122,14.389,14.389,0.0,451689,762614,0.5923,37299,762614,0.0489,98727,753192,0.1311,76935,830454,0.0926,830454.0,0.0,0.0,0.0,76935.0,1.0,0.0,830454.0,1.0,15.0,824
SG14AB,3954.2551,636141,160.8751,0.0817,12.7765,20.9758,59.6145,20.5145,39.1,82552,583971,0.1414,22590,583971,0.0387,81172,575751,0.141,113924,636141,0.1791,482338.0,153803.0,0.2418,20590.0,93334.0,0.8193,636141.0,0.0,0.0,6.8,777
SK27JE,2994.1927,919958,307.2474,0.1404,24.5555,19.1277,46.37,19.07,27.3,121947,891624,0.1368,53925,891624,0.0605,160305,883664,0.1814,172532,919958,0.1875,875820.0,44138.0,0.048,5330.0,167202.0,0.9691,919958.0,0.0,0.0,8.4,1227
SN36BB,7185.7507,565637,78.7165,0.0864,14.2832,24.2525,73.189,23.389,49.8,54124,530703,0.102,21597,530703,0.0407,77066,523088,0.1473,111575,565637,0.1973,360896.0,204741.0,0.362,39036.0,72539.0,0.6501,565637.0,0.0,0.0,9.4,640
SO166YD,1454.3011,492625,338.7366,0.1046,19.6776,16.7896,15.8744,15.8744,0.0,68413,465070,0.1471,21618,465070,0.0465,72258,454081,0.1591,88352,492625,0.1793,451368.0,41257.0,0.0837,0.0,88352.0,1.0,0.0,492625.0,1.0,11.6,803
