icb_code,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt
E54000048,14444.2331,1701655.0,117.8086,0.1462,26.0003,19.6493,40.5558,18.7905,21.7653,186358.0,1648916.0,0.113,108890.0,1648916.0,0.066,324352.0,1610551.0,0.2014,354693.0,1701655.0,0.2084,1351568.0,350087.0,0.2057,30457.0,324236.0,0.9141,1173002.0,528653.0,0.3107
E54000030,896.0897,1818226.0,2029.067,0.1392,22.2488,16.1599,28.8574,16.0072,12.8502,764112.0,1663200.0,0.4594,80334.0,1663200.0,0.0483,230503.0,1643919.0,0.1402,215183.0,1818226.0,0.1183,1814983.0,3243.0,0.0018,0.0,215183.0,1.0,724766.0,1093460.0,0.6014
E54000060,5990.431,1170475.0,195.3908,0.1375,23.548,18.3776,31.2176,17.214,14.0036,163554.0,1091482.0,0.1498,67202.0,1091482.0,0.0616,205518.0,1064076.0,0.1931,214211.0,1170475.0,0.183,950476.0,219999.0,0.188,18517.0,195694.0,0.9136,484341.0,686134.0,0.5862
E54000056,9287.5813,879655.0,94.713,0.0969,16.9565,23.3633,52.6553,22.0785,30.5768,151632.0,823230.0,0.1842,35303.0,823230.0,0.0429,122586.0,798187.0,0.1536,161969.0,879655.0,0.1841,545348.0,334307.0,0.38,54789.0,107180.0,0.6617,494607.0,385048.0,0.4377
E54000041,6638.2723,776780.0,117.0154,0.1004,17.0436,20.213,69.0094,19.3655,49.6439,60241.0,744041.0,0.081,38746.0,744041.0,0.0521,136497.0,727607.0,0.1876,198608.0,776780.0,0.2557,604220.0,172560.0,0.2221,23144.0,175464.0,0.8835,776780.0,0.0,0.0
E54000051,30882.5269,1708723.0,55.3298,0.1213,20.8483,29.11,54.207,27.0176,27.1894,109844.0,1658665.0,0.0662,88895.0,1658665.0,0.0536,287007.0,1621997.0,0.1769,378534.0,1708723.0,0.2215,1132312.0,576411.0,0.3373,167635.0,210899.0,0.5571,1058457.0,650266.0,0.3806
E54000055,1200.2511,1358012.0,1131.4399,0.2036,34.7949,19.4716,25.3477,18.4414,6.9063,532254.0,1279719.0,0.4159,82529.0,1279719.0,0.0645,226793.0,1256453.0,0.1805,195033.0,1358012.0,0.1436,1336006.0,22006.0,0.0162,4124.0,190909.0,0.9789,500996.0,857016.0,0.6311
E54000050,41176.1385,3000432.0,72.8682,0.1658,27.3016,20.7351,50.0231,19.4071,30.6161,176338.0,2914801.0,0.0605,212456.0,2914801.0,0.0729,599458.0,2864278.0,0.2093,614170.0,3000432.0,0.2047,2345110.0,655322.0,0.2184,88185.0,525985.0,0.8564,2290213.0,710219.0,0.2367
E54000057,3604.5562,2848286.0,790.1905,0.174,30.3287,18.8192,32.4079,18.5426,13.8653,540841.0,2682528.0,0.2016,180803.0,2682528.0,0.0674,503668.0,2639700.0,0.1908,452408.0,2848286.0,0.1588,2828436.0,19850.0,0.007,9757.0,442651.0,0.9784,1560495.0,1287791.0,0.4521
E54000026,5195.5182,1199296.0,230.8328,0.1089,17.4079,17.8703,49.3859,17.2715,32.1143,115574.0,1127782.0,0.1025,54158.0,1127782.0,0.048,180585.0,1117585.0,0.1616,233986.0,1199296.0,0.1951,1012388.0,186908.0,0.1558,12228.0,221758.0,0.9477,1137074.0,62222.0,0.0519
E54000042,10173.8156,1831473.0,180.0183,0.0954,17.3574,19.8295,49.9222,19.0666,30.8556,176198.0,1735625.0,0.1015,79224.0,1735625.0,0.0456,273014.0,1698482.0,0.1607,381042.0,1831473.0,0.2081,1496010.0,335463.0,0.1832,25524.0,355518.0,0.933,1338848.0,492625.0,0.269
E54000010,7444.1313,1139794.0,153.1131,0.1195,20.7455,22.0393,34.8661,21.5139,13.3521,88466.0,1097497.0,0.0806,67998.0,1097497.0,0.062,209694.0,1079027.0,0.1943,238605.0,1139794.0,0.2093,925156.0,214638.0,0.1883,43405.0,195200.0,0.8181,552327.0,587467.0,0.5154
E54000052,4066.8737,1052425.0,258.7799,0.0618,10.3133,18.2498,52.728,17.922,34.806,166407.0,992981.0,0.1676,34468.0,992981.0,0.0347,125061.0,970580.0,0.1289,201301.0,1052425.0,0.1913,924060.0,128365.0,0.122,14341.0,186960.0,0.9288,1052425.0,0.0,0.0
E54000058,7295.7943,1063997.0,145.837,0.1237,20.4031,18.7164,42.9144,18.1589,24.7556,94018.0,1018438.0,0.0923,62180.0,1018438.0,0.0611,195367.0,1005465.0,0.1943,219330.0,1063997.0,0.2061,850017.0,213980.0,0.2011,9655.0,209675.0,0.956,937094.0,126903.0,0.1193
E54000053,9358.6568,1711539.0,182.883,0.1024,17.3067,21.5305,49.4569,21.0698,28.3871,186148.0,1600192.0,0.1163,81388.0,1600192.0,0.0509,271296.0,1566717.0,0.1732,384576.0,1711539.0,0.2247,1368622.0,342917.0,0.2004,80419.0,304157.0,0.7909,1243027.0,468512.0,0.2737
E54000044,13024.3638,1723447.0,132.3249,0.0696,11.1812,22.3198,50.5827,21.7375,28.8452,295662.0,1612490.0,0.1834,55320.0,1612490.0,0.0343,203428.0,1565059.0,0.13,313750.0,1723447.0,0.182,1236890.0,486557.0,0.2823,67304.0,246446.0,0.7855,1125673.0,597774.0,0.3468
E54000008,8339.8007,2503902.0,300.2352,0.1626,28.3039,17.8183,35.3666,17.385,17.9816,173166.0,2408898.0,0.0719,170286.0,2408898.0,0.0707,482145.0,2370117.0,0.2034,502510.0,2503902.0,0.2007,2308025.0,195877.0,0.0782,20742.0,481768.0,0.9587,1729137.0,774765.0,0.3094
E54000029,831.1574,2036470.0,2450.1617,0.1601,25.8301,15.2265,14.9539,14.9539,0.0,1073251.0,1776087.0,0.6043,98968.0,1776087.0,0.0557,257040.0,1762482.0,0.1458,209887.0,2036470.0,0.1031,2036470.0,0.0,0.0,0.0,209887.0,1.0,0.0,2036470.0,1.0
E54000024,4240.1348,959098.0,226.1952,0.1105,18.1136,17.6029,64.7128,16.6203,48.0925,249140.0,869381.0,0.2866,37442.0,869381.0,0.0431,122645.0,860393.0,0.1425,151511.0,959098.0,0.158,762373.0,196725.0,0.2051,8688.0,142823.0,0.9427,959098.0,0.0,0.0
E54000025,6751.07,1488061.0,220.4185,0.0852,13.3368,22.3018,50.6625,21.9899,28.6726,250189.0,1383719.0,0.1808,55889.0,1383719.0,0.0404,192150.0,1366526.0,0.1406,259333.0,1488061.0,0.1743,1247791.0,240270.0,0.1615,59528.0,199805.0,0.7705,1123441.0,364620.0,0.245
E54000036,8726.3741,573299.0,65.6973,0.13,23.059,30.7434,90.4194,29.8692,60.5502,22645.0,532273.0,0.0425,33528.0,532273.0,0.063,108744.0,523432.0,0.2078,144840.0,573299.0,0.2526,228899.0,344400.0,0.6007,79697.0,65143.0,0.4498,456106.0,117193.0,0.2044
E54000027,957.4963,2111469.0,2205.1981,0.1308,20.9837,14.8552,30.0583,15.0155,15.0428,1283629.0,1977151.0,0.6492,97428.0,1977151.0,0.0493,265734.0,1949577.0,0.1363,284653.0,2111469.0,0.1348,2103911.0,7558.0,0.0036,0.0,284653.0,1.0,1193796.0,917673.0,0.4346
E54000023,10874.8541,987177.0,90.7761,0.1046,18.9547,22.3459,80.5785,20.9841,59.5943,89839.0,924031.0,0.0972,45124.0,924031.0,0.0488,159224.0,903541.0,0.1762,227093.0,987177.0,0.23,608196.0,378981.0,0.3839,37407.0,189686.0,0.8353,945859.0,41318.0,0.0419
E54000054,8811.3754,2396517.0,271.9799,0.1543,28.4384,17.7368,34.5183,16.3977,18.1206,482198.0,2275387.0,0.2119,134182.0,2275387.0,0.059,393328.0,2236535.0,0.1759,405940.0,2396517.0,0.1694,2162477.0,234040.0,0.0977,18318.0,387622.0,0.9549,1632239.0,764278.0,0.3189
E54000040,9893.407,929964.0,93.9984,0.0851,14.2392,22.6576,63.081,21.9451,41.1359,81234.0,861145.0,0.0943,36220.0,861145.0,0.0421,129853.0,840603.0,0.1545,185319.0,929964.0,0.1993,621083.0,308881.0,0.3321,54275.0,131044.0,0.7071,928214.0,1750.0,0.0019
E54000032,9514.0756,1868199.0,196.3616,0.1177,20.3639,24.4435,75.6805,23.3341,52.3463,198453.0,1727665.0,0.1149,88482.0,1727665.0,0.0512,285236.0,1695733.0,0.1682,368048.0,1868199.0,0.197,1411853.0,456346.0,0.2443,101587.0,266461.0,0.724,1868199.0,0.0,0.0
E54000037,16748.7725,1209773.0,72.2305,0.1168,20.1153,21.7703,65.1773,20.1548,45.0225,62727.0,1133742.0,0.0553,65398.0,1133742.0,0.0577,215898.0,1106745.0,0.1951,293939.0,1209773.0,0.243,794748.0,415025.0,0.3431,48511.0,245428.0,0.835,854996.0,354777.0,0.2933
